id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
ts20939,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],5.7,3713
ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.2,12535
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],8,4936
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],6.5,11506
tm107659,The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],6.6,19829
ts21581,Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],7.2,4482
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],,
tm7073,Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],4.5,3178
tm63514,The Last Days,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],7.9,4247
ts20918,The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],6.8,2346
tm10811,Heavy,MOVIE,1995,R,105,"['romance', 'drama']",['US'],6.8,4921
tm188970,Bill Hicks: Revelations,MOVIE,1993,,74,"['comedy', 'documentation']",['GB'],8.5,3085
tm188606,Sankofa,MOVIE,1993,,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",7,678
tm128073,Bill Hicks: Relentless,MOVIE,1992,,61,['comedy'],['GB'],,
ts18465,Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],['GB'],7.1,39
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],7.9,5834
tm320211,Children of God,MOVIE,1994,,63,['documentation'],['GB'],6.4,589
tm189171,Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",6.7,1564
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],7.6,51640
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.4,4185
ts22039,H,SHOW,1998,TV-MA,25,['comedy'],['FR'],7.4,1703
tm41525,Herod's Law,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],7.8,5943
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],5.9,195
ts21684,Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.8,3106
tm55100,Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],7.5,28409
ts224786,Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],,
tm204173,Aashik Aawara,MOVIE,1993,,153,"['romance', 'comedy', 'drama']",['IN'],4.7,320
tm191614,Destiny,MOVIE,1997,,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",7.1,2825
tm8859,Oh Darling! Yeh Hai India!,MOVIE,1995,G,153,['comedy'],['IN'],4,1678
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,"['drama', 'sport']",['US'],7.2,248
tm12876,Bombay,MOVIE,1995,,141,"['romance', 'drama']",['IN'],8.1,12512
tm52083,West Beirut,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",7.6,4175
tm9898,Muthu,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],7.6,3056
tm326102,Qila,MOVIE,1998,,160,"['drama', 'music', 'family']",['IN'],4.8,129
tm12482,Ram Jaane,MOVIE,1995,,172,"['action', 'drama', 'romance', 'crime']",['IN'],5.4,3901
tm128925,Chamatkar,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],6.5,6199
tm52871,Soldier,MOVIE,1998,,156,"['thriller', 'action', 'drama', 'romance']",['IN'],6.2,3025
ts28516,Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],9,2326
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],6.2,8454
tm184502,Kabhi Haan Kabhi Naa,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],7.6,18224
tm7810,Nightmare in Columbia County,MOVIE,1991,,100,"['drama', 'crime', 'thriller']",['US'],5.5,341
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],6.1,7556
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,,49,['comedy'],['US'],,
tm47530,Jeans,MOVIE,1998,,175,"['drama', 'romance', 'comedy']",['IN'],6.4,3567
tm105716,Chaahat,MOVIE,1996,G,155,"['drama', 'romance']",['IN'],5.5,2837
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,,206,"['romance', 'comedy', 'drama']",['IN'],7.5,20986
tm189773,Maya Memsaab,MOVIE,1993,PG-13,126,"['romance', 'drama', 'thriller']",['IN'],5.4,2177
tm7032,Out of Life,MOVIE,1991,,97,"['war', 'drama', 'crime', 'european']","['IT', 'LB', 'BE', 'FR']",6.9,365
tm58893,Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],5.5,7557
tm340430,Govindha Govindha,MOVIE,1993,,145,"['drama', 'action', 'crime']",['IN'],6.6,351
tm184326,Damini,MOVIE,1993,,180,"['drama', 'crime']",['IN'],7.8,3490
tm110225,English Babu Desi Mem,MOVIE,1996,PG,172,"['romance', 'comedy', 'drama']",['IN'],4.5,2322
tm34391,Before the Flying Circus,MOVIE,2000,,55,"['comedy', 'documentation']",['GB'],7.3,161
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,72,"['comedy', 'music', 'documentation']",['US'],6.6,272
tm118438,Anjaam,MOVIE,1994,,146,"['thriller', 'romance', 'drama']",['IN'],6.6,6465
tm62176,Mann,MOVIE,1999,,174,"['drama', 'romance']",['IN'],6.1,5413
tm57169,Monty Python: Live at Aspen,MOVIE,1998,,58,"['comedy', 'documentation']","['US', 'GB']",7.8,1092
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,"['comedy', 'documentation']",['US'],7.8,166
tm44776,The Other,MOVIE,1999,,106,"['drama', 'european', 'romance']","['EG', 'FR']",5.9,987
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,56,"['comedy', 'documentation']",['US'],6.7,115
tm203186,Children of Shatila,MOVIE,1999,,50,"['documentation', 'history']",['LB'],8.2,74
tm256669,Gumrah,MOVIE,1993,,149,"['action', 'crime', 'drama', 'thriller']",['IN'],6.1,784
tm117840,The Emigrant,MOVIE,1994,,129,['drama'],"['EG', 'FR']",6.5,998
tm334788,Yodha,MOVIE,1991,,142,"['drama', 'action']",['IN'],4.5,198
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],7.9,2528
tm192301,Minsara Kanavu,MOVIE,1997,G,145,"['comedy', 'drama', 'romance']",['IN'],6.7,1212
tm110766,Chronicle of a Disappearance,MOVIE,1996,,88,['drama'],"['US', 'FR', 'DE', 'PS']",6.9,718
tm118256,Yaar Gaddar,MOVIE,1994,,147,"['crime', 'action', 'drama']",['IN'],3.6,142
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,55,"['comedy', 'documentation']",['US'],6.2,65
tm314602,Dushmani,MOVIE,1995,,156,"['romance', 'action', 'drama']",['IN'],5,248
