name,genre
Weird Science,Comedy
The Goonies,Adventure
Back to the Future,Adventure
To Live and Die in L.A.,Action
Clue,Comedy
The Breakfast Club,Comedy
Cocoon,Comedy
Rambo: First Blood Part II,Action
Mask,Biography
Legend,Adventure
The Return of the Living Dead,Comedy
St. Elmo's Fire,Drama
Brazil,Drama
Pale Rider,Drama
Teen Wolf,Comedy
Real Genius,Comedy
Commando,Action
Witness,Crime
The Color Purple,Drama
Silverado,Action
Rocky IV,Drama
Better Off Dead...,Comedy
Ran,Action
Ladyhawke,Adventure
A Room with a View,Drama
Red Sonja,Action
Fright Night,Fantasy
Explorers,Adventure
Flesh+Blood,Adventure
Mad Max Beyond Thunderdome,Action
After Hours,Comedy
A View to a Kill,Action
Fletch,Comedy
Perfect,Drama
A Nightmare on Elm Street 2: Freddy's Revenge,Horror
Summer Rental,Comedy
Lifeforce,Action
Pee-wee's Big Adventure,Adventure
Out of Africa,Biography
Day of the Dead,Horror
Just One of the Guys,Comedy
National Lampoon's European Vacation,Adventure
Spies Like Us,Adventure
House,Comedy
Police Academy 2: Their First Assignment,Comedy
The Black Cauldron,Animation
Friday the 13th: A New Beginning,Horror
Runaway Train,Action
Re-Animator,Comedy
Brewster's Millions,Comedy
The Last Dragon,Action
The Legend of Billie Jean,Action
Desperately Seeking Susan,Comedy
Girls Just Want to Have Fun,Comedy
Vision Quest,Drama
Jagged Edge,Drama
Enemy Mine,Action
Tuff Turf,Action
Volunteers,Adventure
The Jewel of the Nile,Action
Once Bitten,Comedy
Private Resort,Comedy
Police Story,Action
Into the Night,Action
The Sure Thing,Comedy
White Nights,Drama
Mischief,Comedy
Silver Bullet,Horror
Kiss of the Spider Woman,Drama
My Beautiful Laundrette,Comedy
Young Sherlock Holmes,Adventure
Smooth Talk,Drama
Porky's Revenge,Comedy
Year of the Dragon,Action
Prizzi's Honor,Comedy
The Quiet Earth,Drama
Tampopo,Comedy
Creature,Horror
Secret Admirer,Comedy
"No Retreat, No Surrender",Action
D.A.R.Y.L.,Family
Mishima: A Life in Four Chapters,Biography
A Chorus Line,Drama
Cat's Eye,Comedy
Murphy's Romance,Comedy
Heaven Help Us,Comedy
American Flyers,Drama
The Journey of Natty Gann,Adventure
Trouble in Mind,Comedy
Fandango,Comedy
Gotcha!,Action
Death Wish 3,Action
King Solomon's Mines,Action
American Warrior,Action
The Emerald Forest,Action
The Holcroft Covenant,Action
The Falcon and the Snowman,Biography
Transylvania 6-5000,Comedy
Desert Hearts,Drama
The Heavenly Kid,Comedy
The Purple Rose of Cairo,Comedy
The Man with One Red Shoe,Comedy
My Life as a Dog,Drama
My Science Project,Action
Seven Minutes in Heaven,Comedy
Fraternity Vacation,Comedy
The New Kids,Crime
Tomboy,Comedy
Invasion U.S.A.,Action
Revolution,Adventure
Lost in America,Comedy
Subway,Thriller
Moving Violations,Comedy
Nomads,Horror
Fool for Love,Drama
Baby: Secret of the Lost Legend,Adventure
Code of Silence,Action
Crimewave,Comedy
Gymkata,Action
Sweet Dreams,Biography
The Slugger's Wife,Comedy
Avenging Angel,Action
Santa Claus: The Movie,Adventure
That Was Then... This Is Now,Crime
Agnes of God,Drama
Rustlers' Rhapsody,Comedy
The Adventures of Mark Twain,Animation
Stick,Action
The Bride,Fantasy
Morons from Outer Space,Comedy
Godzilla 1985,Action
Plenty,Drama
King David,Adventure
The Trip to Bountiful,Drama
Missing in Action 2: The Beginning,Action
The Protector,Action
